,Games played,Games won,Win rate,Avg damage to champs,Avg game time,Dmg per minute,Avg kills,Avg deaths,Avg assists
Velkoz,3,0,0.0,29548.666666666668,19416.833333333332,1.5218066797709893,9.666666666666666,6.333333333333333,15.333333333333334
Khazix,3,2,66.7,26256.666666666668,20326.2,1.2917646518614727,12.666666666666666,13.0,17.666666666666668
Tryndamere,3,1,33.3,19014.333333333332,17020.5,1.1171430529851256,13.333333333333334,8.666666666666666,12.333333333333334
Lulu,3,1,33.3,4034.0,15550.1,0.25941955357200275,1.0,7.333333333333333,25.333333333333332
Jax,3,1,33.3,18385.666666666668,15465.233333333332,1.1888386208204642,8.333333333333334,10.333333333333334,16.666666666666668
KogMaw,3,2,66.7,32418.333333333332,19634.233333333334,1.6511127673264552,10.666666666666666,11.333333333333334,18.666666666666668
Sivir,2,2,100.0,15881.0,9049.3,1.7549423712331342,2.5,5.5,22.0
Warwick,2,1,50.0,26292.5,22689.0,1.158821455330777,14.5,13.0,21.5
Syndra,2,1,50.0,42327.0,26815.65,1.5784439310626444,13.5,11.0,17.5
Morgana,2,0,0.0,18625.5,20970.6,0.8881720122457155,6.0,10.5,25.5
Ahri,2,0,0.0,23894.0,19699.75,1.2129087932587976,5.5,8.0,18.0
Kassadin,2,0,0.0,34157.0,23442.5,1.457054495041058,15.0,13.5,13.0
Heimerdinger,2,2,100.0,27630.5,17599.95,1.5699192327250928,7.0,10.0,27.0
Vex,2,0,0.0,18180.5,19220.7,0.9458812634295317,4.0,8.0,17.0
XinZhao,2,2,100.0,39822.0,25283.65,1.5750099372519395,10.5,14.0,24.5
Nami,2,1,50.0,10670.0,11410.550000000001,0.9350995350793782,2.0,4.5,37.5
Irelia,2,0,0.0,44591.0,26414.0,1.6881577951086546,20.5,16.5,18.0
Nocturne,2,0,0.0,13926.5,14856.150000000001,0.9374232220326262,5.0,8.0,5.5
Yuumi,2,0,0.0,4916.5,16345.1,0.30079350998158466,4.0,4.0,24.5
Shen,2,1,50.0,14887.0,17493.199999999997,0.8510163949420347,7.0,9.0,26.5
Rakan,2,2,100.0,15303.5,26094.85,0.5864567146390954,3.0,9.5,45.5
Lucian,2,2,100.0,28499.0,19046.15,1.496312903132654,11.0,8.5,16.5
Kaisa,2,0,0.0,25448.0,9818.75,2.5917759388924253,6.5,9.0,16.0
Akali,2,0,0.0,13435.5,18524.85,0.7252690305184658,6.5,11.5,12.5
Neeko,2,1,50.0,25492.5,20132.45,1.266239330036831,7.5,11.0,19.0
Sona,1,1,100.0,10318.0,27592.3,0.373944904919126,6.0,7.0,37.0
Quinn,1,1,100.0,34658.0,20683.5,1.675635168129185,15.0,8.0,20.0
Olaf,1,1,100.0,14546.0,13463.0,1.0804426947931367,10.0,7.0,10.0
Zilean,1,1,100.0,13968.0,24855.8,0.5619613933166504,6.0,7.0,36.0
Bard,1,1,100.0,14370.0,15157.3,0.9480580314435949,7.0,5.0,13.0
Nidalee,1,0,0.0,20402.0,17897.7,1.139923006866804,3.0,8.0,13.0
Pyke,1,0,0.0,12054.0,15552.9,0.7750323090870513,6.0,6.0,6.0
Vladimir,1,0,0.0,32812.0,25262.5,1.2988421573478477,9.0,12.0,21.0
Blitzcrank,1,1,100.0,10386.0,15566.6,0.6671977181915126,2.0,7.0,24.0
Kalista,1,1,100.0,18121.0,24605.7,0.7364553741612716,11.0,6.0,12.0
Katarina,1,0,0.0,16152.0,17696.7,0.9127125396260319,6.0,12.0,12.0
Nasus,1,1,100.0,13343.0,20.5,650.8780487804878,3.0,15.0,21.0
Elise,1,0,0.0,31253.0,22337.7,1.3991145014929915,8.0,7.0,15.0
Annie,1,1,100.0,20146.0,20934.3,0.9623440955752044,8.0,10.0,27.0
Camille,1,1,100.0,13569.0,14150.5,0.9589060457227659,7.0,8.0,19.0
Kindred,1,1,100.0,18541.0,16759.7,1.1062847187002154,8.0,4.0,20.0
Rumble,1,1,100.0,28231.0,17128.3,1.6482079365728064,7.0,11.0,23.0
Shaco,1,0,0.0,12159.0,15612.0,0.7788239815526518,9.0,9.0,12.0
Orianna,1,0,0.0,35753.0,21.9,1632.5570776255709,21.0,9.0,27.0
Anivia,1,1,100.0,15206.0,13469.8,1.1288957519785001,5.0,7.0,19.0
Fizz,1,0,0.0,35633.0,20.1,1772.7860696517412,20.0,13.0,13.0
Graves,1,0,0.0,6879.0,15457.2,0.44503532334446083,2.0,8.0,9.0
MonkeyKing,1,0,0.0,25403.0,19181.6,1.324342077824582,8.0,12.0,15.0
Sejuani,1,1,100.0,3370.0,8.5,396.47058823529414,3.0,3.0,13.0
Gangplank,1,0,0.0,28920.0,19713.8,1.466992665036675,17.0,8.0,14.0
